id,foursquare:id,name,foursquare:name,fuzzywuzzy:match
35454135,4b0b2275f964a520772d23e3,7th Ave (B-D-E),MTA Subway - 47th-50th St/Rockefeller Center (B/D/F/M),46
35454137,4adcd010f964a5206e3021e3,47th-50th Sts - Rockefeller Ctr (B-D-F-M),MTA Subway - 42nd St/Bryant Park (B/D/F/M),37
35454139,4b367d28f964a520963625e3,57th St (F),MTA Subway - 5th Ave (N/Q/R),54
35454143,4b572861f964a520ac2828e3,Lexington Ave - 63rd St (F),MTA Subway - Lexington Ave/59th St (N/Q/R/4/5/6),66
35454145,,Roosevelt Island - Main St (F),,0
35454147,,59th St - Columbus Circle (A-B-C-D),,0
35454149,4b0b2275f964a520772d23e3,49th St (N-Q-R),MTA Subway - 47th-50th St/Rockefeller Center (B/D/F/M),46
35454151,4ab9b7b0f964a520358020e3,57th St (N-Q-R),MTA Subway - 49th St (N/Q/R),73
35454153,4b572861f964a520ac2828e3,5th Ave - 59th St (N-Q-R),MTA Subway - Lexington Ave/59th St (N/Q/R/4/5/6),68
35454155,4b572861f964a520ac2828e3,Lexington Ave - 59th St (N-Q-R),MTA Subway - Lexington Ave/59th St (N/Q/R/4/5/6),80
35454157,49e36914f964a5207b621fe3,34th St - Penn Station (1-2-3),Herald Square,30
35454161,49e36914f964a5207b621fe3,Times Sq - 42nd St (1-2-3),Herald Square,30
35454163,4ad78220f964a520960b21e3,Broadway - Nassau St (A-C),MTA Subway - Fulton St (A/C/J/Z/2/3/4/5),53
35454165,4ad78220f964a520960b21e3,Chambers St (A-C),MTA Subway - Fulton St (A/C/J/Z/2/3/4/5),41
35454167,4adcd010f964a5206e3021e3,42nd St - Port Authority Bus Term (A-C-E),MTA Subway - 42nd St/Bryant Park (B/D/F/M),37
35454169,,Myrtle-Willoughby Aves (G),,0
35454171,4a6d2857f964a5209fd21fe3,Flushing Ave (G),MTA Subway  - Lorimer St (J/M),31
35454173,4b57eacef964a5202c4628e3,23rd St (F-M),MTA Subway - 23rd St (6),83
35454175,49e36914f964a5207b621fe3,Herald Sq - 34th St (B-D-F-M),Herald Square,69
35454179,4b3a1855f964a520026125e3,Hoyt - Schermerhorn Sts (A-C-G),MTA Subway - Jay St-MetroTech (A/C/F/R),38
35454181,4b3a1855f964a520026125e3,Jay St - Borough Hall (A-C-F),MTA Subway - Jay St-MetroTech (A/C/F/R),58
35454183,,East Broadway (F),,0
35454185,4b2d6938f964a52019d624e3,Delancey St (F),MTA Subway - Lower East Side/2nd Ave (F),46
35454187,4b2d6938f964a52019d624e3,Lower East Side - 2nd Ave (F),MTA Subway - Lower East Side/2nd Ave (F),92
35454189,4b039599f964a520d44f22e3,Flushing Ave (J-M),MTA Subway - Flushing Ave (J/M),94
35454191,4b039599f964a520d44f22e3,Myrtle Ave (J-M-Z),MTA Subway - Flushing Ave (J/M),55
35454193,4adcf849f964a5200c6321e3,4th Ave (F-G),MTA Subway - 4th Ave/9th St (F/G/R),61
35454197,4adcf849f964a5200c6321e3,Smith - 9th Sts (F-G),MTA Subway - 4th Ave/9th St (F/G/R),66
35454199,,Bergen St (F-G),,0
35454201,4b3a1855f964a520026125e3,Lawrence St (N-R),MTA Subway - Jay St-MetroTech (A/C/F/R),41
35454203,4b3a1855f964a520026125e3,Court St (N-R),MTA Subway - Jay St-MetroTech (A/C/F/R),28
35454205,4b57eacef964a5202c4628e3,Union Sq - 14th St (N-Q-R),MTA Subway - 23rd St (6),45
35454207,4b57eacef964a5202c4628e3,23rd St (N-R),MTA Subway - 23rd St (6),83
35454209,,Prospect Ave (D-N-R),,0
35454211,4adcf849f964a5200c6321e3,9th St (D-N-R),MTA Subway - 4th Ave/9th St (F/G/R),71
35454215,4b2d8479f964a5203dd824e3,3rd Ave (L),MTA Subway - Astor Pl (4/6),45
35454217,4b57eacef964a5202c4628e3,Union Sq - 14th St (L),MTA Subway - 23rd St (6),50
35454219,4cf56c74c020b60c539d1a75,Liberty Ave (A-C),MTA East New York Depot,18
35454221,4cf56c74c020b60c539d1a75,Broadway Junction (A-C),MTA East New York Depot,6
35454223,4b891e3df964a520b21d32e3,59th St (N-R),MTA Subway - 59th St (N/R),92
35454225,,45th St (N-R),,0
35454227,4bf804ee8d30d13a1feaff17,36th St (D-N-R),MTA Subway - 36th St (D/N/R),86
35454229,4c1290c98aedd13a88515137,9th Ave (D),MTA Subway - 9th Ave (D),100
35454233,,53rd St (N-R),,0
35454235,4c1290c98aedd13a88515137,Ft Hamilton Pkwy (D),MTA Subway - 9th Ave (D),40
35454237,4bd9e2225f34b713dde03579,25th St (D-N-R),MTA Subway - 25th St (R),84
35454239,4ae27cdff964a520958e21e3,Carroll St (F-G),MTA Subway - Carroll St (F/G),93
35454241,,Spring St (A-C-E),,0
35454243,4b3c1211f964a5204b8125e3,181st St (A),MTA Subway - 181st St (A),100
35454245,4b06d110f964a520c3f022e3,190th St (A),MTA Subway - 190th St (A),100
35454247,,116th St (A-B-C),,0
35454251,4ae49e4ff964a520639c21e3,125th St (A-B-C-D),MTA Subway - 125th St (A/B/C/D),83
35454253,,Prince St (N-R),,0
35454255,4b2d93a9f964a5201fd924e3,8th St - NYU (N-R),MTA Subway - W 4th St/Washington Sq (A/B/C/D/E/F/M),33
35454257,4ad78220f964a520960b21e3,Fulton St (2-3),MTA Subway - Fulton St (A/C/J/Z/2/3/4/5),73
35454259,4ad78220f964a520960b21e3,Park Pl (2-3),MTA Subway - Fulton St (A/C/J/Z/2/3/4/5),30
35454261,4ad78220f964a520960b21e3,Chambers St (1-2-3),MTA Subway - Fulton St (A/C/J/Z/2/3/4/5),36
35454263,4b3a1855f964a520026125e3,Hoyt St (2-3),MTA Subway - Jay St-MetroTech (A/C/F/R),38
35454265,4b3a1855f964a520026125e3,Borough Hall (2-3),MTA Subway - Jay St-MetroTech (A/C/F/R),34
35454269,4b5a8d8df964a5200fcb28e3,183rd St (4),MTA Subway - 182nd/183rd Sts (B/D),83
35454271,4b261ec3f964a520977824e3,Fordham Rd (4),MTA Subway - Fordham Rd (B/D),85
35454273,4ad78220f964a520960b21e3,World Trade Center (E),MTA Subway - Fulton St (A/C/J/Z/2/3/4/5),22
35454275,,Canal St - Holland Tunnel (A-C-E),,0
35454277,4c432dc5ff711b8d48891405,155th St (A-C),MTA Subway - 157th St (1),76
35454279,4c432dc5ff711b8d48891405,163rd St - Amsterdam Av (A-C),MTA Subway - 157th St (1),24
35454281,4ad78220f964a520960b21e3,Fulton St (J-Z),MTA Subway - Fulton St (A/C/J/Z/2/3/4/5),73
35454283,4ad78220f964a520960b21e3,Chambers St (J-Z),MTA Subway - Fulton St (A/C/J/Z/2/3/4/5),41
35454287,,Canal St (J-Z),,0
35454289,4ad78220f964a520960b21e3,City Hall (N-R),MTA Subway - Fulton St (A/C/J/Z/2/3/4/5),26
35454291,,Canal St (N-R),,0
35454293,4b0800f9f964a5202a0223e3,South Ferry (1),MTA Subway - Wall St (2/3),33
35454295,4b0800f9f964a5202a0223e3,Bowling Green (4-5),MTA Subway - Wall St (2/3),31
35454297,4ad78220f964a520960b21e3,Wall St (4-5),MTA Subway - Fulton St (A/C/J/Z/2/3/4/5),46
35454299,4b0800f9f964a5202a0223e3,Whitehall St (N-R),MTA Subway - Wall St (2/3),64
35454301,4ad78220f964a520960b21e3,Rector St (N-R),MTA Subway - Fulton St (A/C/J/Z/2/3/4/5),46
35454305,4b60e501f964a52030002ae3,Fresh Pond Rd (M),MTA Subway - Fresh Pond Rd (M),100
35454307,4b9c1989f964a520054a36e3,Middle Village - Metropolitan Ave (M),MTA Subway - Middle Village/Metropolitan Ave (M),94
35454309,4b0800f9f964a5202a0223e3,Rector St (1),MTA Subway - Wall St (2/3),46
35454311,4ad78220f964a520960b21e3,Cortlandt St (Temporarily Closed) (1),MTA Subway - Fulton St (A/C/J/Z/2/3/4/5),29
35454313,4ad78220f964a520960b21e3,Fulton St (4-5),MTA Subway - Fulton St (A/C/J/Z/2/3/4/5),73
35454315,4ad78220f964a520960b21e3,Broad St (J-Z),MTA Subway - Fulton St (A/C/J/Z/2/3/4/5),50
35454317,4ad78220f964a520960b21e3,Cortlandt St (NB only) (N-R),MTA Subway - Fulton St (A/C/J/Z/2/3/4/5),30
35454319,4ad78220f964a520960b21e3,Wall St (2-3),MTA Subway - Fulton St (A/C/J/Z/2/3/4/5),46
35454323,4ae10ae7f964a520ce8421e3,Dyckman St (A),MTA Subway - Dyckman St (1),92
35454325,,Grand St (B-D),,0
35454327,505f9055e4b02078ac6cbc28,Broadway - Lafayette St (B-D-F-M),mta astor,33
35454329,4b2d6938f964a52019d624e3,Bowery (J-Z),MTA Subway - Lower East Side/2nd Ave (F),41
35454331,,Canal St (N-Q),,0
35454333,4b1724d4f964a520f6c223e3,23rd St (A-C-E),MTA Subway - 18th St (1),46
35454335,49e36914f964a5207b621fe3,34th St - Penn Station (A-C-E),Herald Square,30
35454337,4b283971f964a520289124e3,Jackson Hts - Roosevelt Av (E-F-M-R),MTA Subway - 74th St/Roosevelt Ave/Jackson Heights (E/F/M/R/7),50
35454341,4b12a150f964a5208f8b23e3,14th St (1-2-3),MTA Subway - Christopher St/Sheridan Square (1),46
35454343,,135th St (A-B-C),,0
35454345,4b1724d4f964a520f6c223e3,14th St (F-M),MTA Subway - 18th St (1),75
35454347,4b12a150f964a5208f8b23e3,6th Ave (L),MTA Subway - Christopher St/Sheridan Square (1),45
35454349,4b12a150f964a5208f8b23e3,8th Ave (L),MTA Subway - Christopher St/Sheridan Square (1),45
35454351,4b1724d4f964a520f6c223e3,14th St (A-C-E),MTA Subway - 18th St (1),69
35454353,4bd1af9b41b9ef3bca54fce5,Nostrand Ave (3-4),MTA Subway - Nostrand Ave (3),94
35454355,4aba69b7f964a520388120e3,Clark St (2-3),MTA Subway - Borough Hall/Court St (R/2/3/4/5),57
35454359,,Franklin Ave (A-C),,0
35454361,,Clinton - Washington Aves (A-C),,0
35454363,,Forest Ave (M),,0
35454365,4b56856df964a520d21328e3,110th St (4-6-6 Express),MTA Subway - 103rd St (6),50
35454367,4b21aee7f964a5201b4024e3,86th St (4-5-6-6 Express),MTA Subway - 86th St (4/5/6),65
35454369,4b203d47f964a5202e2f24e3,York St (F),MTA Subway - High St/Brooklyn Bridge (A/C),36
35454371,4b203d47f964a5202e2f24e3,High St (A-C),MTA Subway - High St/Brooklyn Bridge (A/C),53
35454373,4acfc371f964a520d2d520e3,Lafayette Ave (A-C),MTA Subway - Atlantic Ave-Barclays Center (B/D/N/Q/R/2/3/4/5),47
35454377,4bd1af9b41b9ef3bca54fce5,President St (2-5),MTA Subway - Nostrand Ave (3),29
35454379,4af1d4c8f964a52099e321e3,Woodlawn (4),MTA Subway - Woodlawn (4),100
35454381,4b2d8479f964a5203dd824e3,Bleecker St (Uptown) (4-6-6 Express),MTA Subway - Astor Pl (4/6),33
35454383,4b56856df964a520d21328e3,103rd St (4-6-6 Express),MTA Subway - 103rd St (6),66
35454385,,Euclid Ave (A-C-S),,0
35454387,4c1d08b263750f47d285b767,88th St (A-S),MTA Subway - 88th St/Boyd Ave (A),61
35454389,4b200f21f964a520ac2c24e3,Cortelyou Rd (B-Q),MTA Subway - Cortelyou Rd (B/Q),94
35454391,4daf924eec8e4c4af4edc477,116th St (4-6-6 Express),MTA Bar Car 8:07,18
35454395,,Parkchester (6-6 Express),,0
35454397,4b78360df964a520a7bc2ee3,Franklin St (1-2),MTA Subway - Chambers St (1/2/3),58
35454399,4a8ae0bff964a520b30a20e3,80th St (A-S),MTA Subway - 80th St/Hudson St (A),58
35454401,42829c80f964a5206a221fe3,5th Ave - Bryant Pk (7-7 Express),Grand Central Terminal,22
35454403,,Spring St (4-6-6 Express),,0
35454405,49de0156f964a52021601fe3,125th St (4-5-6-6 Express),Metro North - Harlem 125th Station,41
35454407,4bd1b96a77b29c7439118d82,Coney Island - Stillwell Av (D-F-N-Q),MTA Subway - Coney Island/Stillwell Ave (D/F/N/Q),84
